image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,middle_bound,skip_singleton_bounds,enable_split_bit_branch_priority,split_bit_branch_priority,split_indices,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path
2,1,0,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,11,INTERRUPTED,verified,False,False,1.8786792755126953,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,2,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,11,INTERRUPTED,verified,False,False,3868.356689929962,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,3,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,25.619232892990112,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,4,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.8501687049865723,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,5,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.3113510608673096,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,6,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.9020113945007324,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,7,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,2604.032642364502,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,8,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,8.738725900650024,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
2,1,9,0,0,10,0.75,720000.0,True,False,0.5,True,True,1000,[],initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.5203652381896973,initial_label_local_verify_time,6535.205269,6535.205269,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260506/20260506_181950_run_01_ub_0p75_timeouts_720000/000_all_labels_eran_run.log
