Image Index,X patch,Y patch,Patch Size,Upper bound,Timeout MILP (s),Initial Timeout Labels,Finally Verified Labels,Adversarial Labels,Unresolved Labels,ERAN Run Times,Total Run Time (s),Max Depth Reached,Attempt Count,Status,Comment,Log paths,CSV path
2,0,0,10,0.7,72000.0,[],"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[],[],['0:09:37.339839'],577.339839,0,1,Verified,Recursive timeout refinement finished. timed_out_initial=[] rerun_attempts=0 stopped_early=False adversarial_label=None skipped_labels=[],/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p7_timeout_72000_try_01/000_all_labels_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv
2,0,0,10,0.75,72000.0,[],"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[],[],['1:52:41.717887'],6761.717887,0,1,Verified,Recursive timeout refinement finished. timed_out_initial=[] rerun_attempts=0 stopped_early=False adversarial_label=None skipped_labels=[],/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p75_timeout_72000_try_01/000_all_labels_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv
2,0,0,10,0.8,72000.0,[],"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[],[],['6:33:38.966430'],23618.96643,0,1,Verified,Recursive timeout refinement finished. timed_out_initial=[] rerun_attempts=0 stopped_early=False adversarial_label=None skipped_labels=[],/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv
