Image Index,X patch,Y patch,Patch Size,Upper bound,Timeout MILP (s),Initial Timeout Labels,Finally Verified Labels,Adversarial Labels,Unresolved Labels,ERAN Run Times,Total Run Time (s),Max Depth Reached,Attempt Count,Status,Comment,Log paths,CSV path
2,0,0,10,0.6,15.0,[],"[0, 2, 3, 4, 5, 6, 7, 8, 9]",[],[],['0:00:33.551647'],33.551647,0,1,Verified,Recursive timeout refinement finished. timed_out_initial=[] rerun_attempts=0 stopped_early=False adversarial_label=None skipped_labels=[],/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p6_timeout_15_try_01/000_all_labels_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_173345.csv
2,0,0,10,0.65,15.0,"[2, 7]","[0, 3, 4, 5, 6, 8, 9]",[],"[2, 7]","['0:01:04.296602', '0:00:28.735592', '0:00:26.938985', '0:00:26.801709', '0:00:26.858602']",173.63149,2,5,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=4 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_15_try_01/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_15_try_01/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_15_try_01/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_15_try_01/003_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_15_try_01/004_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_173345.csv
2,0,0,10,0.65,20.0,"[2, 7]","[0, 3, 4, 5, 6, 8, 9]",[],"[2, 7]","['0:01:13.339471', '0:00:32.079932', '0:00:31.674072', '0:00:31.667960', '0:00:31.760996']",200.522431,2,5,MaxDepthTimeout,"Recursive timeout refinement finished. timed_out_initial=[2, 7] rerun_attempts=4 stopped_early=False adversarial_label=None skipped_labels=[]",/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_20_try_02/000_all_labels_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_20_try_02/001_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_20_try_02/002_adv_label_2_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_20_try_02/003_adv_label_7_eran_run.log;/root/Projects/Nathan/Patch-Attack-Verification/logs/20260326/20260326_173345_ub_0p65_timeout_20_try_02/004_adv_label_7_eran_run.log,/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260326_173345.csv
