source_csv_path,source_row_number,image_index,true_label,adv_label,patch_x,patch_y,patch_size,upper_bound,timeout_milp_s,add_bool_constraints,use_refine_poly,run_scope,global_attempt_index,label_attempt_index,current_depth,status_code,status_name,final_outcome,is_timeout,is_adversarial_found,iteration_runtime_seconds,iteration_runtime_source,attempt_runtime_seconds,parent_total_run_time_seconds,parent_status,parent_attempt_count,parent_max_depth_reached,log_path
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,2,2,1,4,0,0,10,0.75,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.558647632598877,initial_label_local_verify_time,6761.717887,6761.717887,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p75_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,2,2,1,5,0,0,10,0.75,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.9667105674743652,initial_label_local_verify_time,6761.717887,6761.717887,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p75_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,2,2,1,6,0,0,10,0.75,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.509298801422119,initial_label_local_verify_time,6761.717887,6761.717887,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p75_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,2,2,1,7,0,0,10,0.75,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,2377.6937770843506,initial_label_local_verify_time,6761.717887,6761.717887,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p75_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,2,2,1,8,0,0,10,0.75,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,4.813188791275024,initial_label_local_verify_time,6761.717887,6761.717887,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p75_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,2,2,1,9,0,0,10,0.75,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.70680570602417,initial_label_local_verify_time,6761.717887,6761.717887,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p75_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,0,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.4612746238708496,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,2,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,11,INTERRUPTED,verified,False,False,20631.804533481598,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,3,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,195.60278296470642,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,4,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.6945009231567383,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,5,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.4314675331115723,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,6,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,3.703486919403076,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,7,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,2655.804974079132,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,8,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,103.8479380607605,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
/root/Projects/Nathan/Patch-Attack-Verification/csv/recursive_timeout_refinement_20260403_082312.csv,3,2,1,9,0,0,10,0.8,72000.0,True,False,initial_all_labels,0,1,0,6,CUTOFF,verified,False,False,4.794564485549927,initial_label_local_verify_time,23618.96643,23618.96643,Verified,1,0,/root/Projects/Nathan/Patch-Attack-Verification/logs/20260403/20260403_082312_ub_0p8_timeout_72000_try_01/000_all_labels_eran_run.log
