parameter,level,rows_with_level,pearson,abs_pearson,median_ratio_for_level,median_ratio_without_level,mean_ratio_for_level,mean_ratio_without_level
cutting_planes_strongcg,<NA>,59,-0.29720838619588025,0.29720838619588025,0.8693443208607335,0.9502716176803672,0.9103531614662824,1.3380026251459791
variable_bound_range_presolved,"[ 0.000110327, 35.346 ]",8,-0.2925759215371055,0.2925759215371055,0.5461698599495108,0.9505282735486633,0.5295569387372987,1.0448189866173438
cutting_planes_cover,80.0,1,0.29062659087749537,0.29062659087749537,2.3429336250343424,0.8699154979092004,2.3429336250343424,0.9684779863151275
variable_bound_range_presolved,"[ 7.52282e-05, 35.346 ]",1,0.29062659087749537,0.29062659087749537,2.3429336250343424,0.8699154979092004,2.3429336250343424,0.9684779863151275
top_k,20,21,-0.23311737027664445,0.23311737027664445,0.6727288053224821,0.9507849294169595,0.7865000296282579,1.0703601966904897
split_selection_mode,max,30,-0.21782120212730985,0.21782120212730985,0.73830581748865,0.9924651084005427,0.8449227554593455,1.0894568568959053
optimizer_presolved_variable_types_continuous,1317,8,-0.2177533491599772,0.2177533491599772,0.6358798583962064,0.9474024648867784,0.6466873548719323,1.0301776846005146
variable_types_continuous_presolved,1317,8,-0.2177533491599772,0.2177533491599772,0.6358798583962064,0.9474024648867784,0.6466873548719323,1.0301776846005146
split_selection_mode,min,15,0.21738026196083277,0.21738026196083277,0.9836535140674557,0.8699154979092004,1.2221006506471312,0.9258484367316039
optimizer_presolve_removed_rows,45068,4,-0.21457912447084782,0.21457912447084782,0.5146683736127972,0.9419559292947085,0.497897095623709,1.01637179810167
optimizer_presolved_variable_types_continuous,1098,10,0.1968692090274376,0.1968692090274376,0.9669625658739114,0.8660914137136673,1.2588775839207078,0.9438079808742147
variable_types_continuous_presolved,1098,10,0.1968692090274376,0.1968692090274376,0.9669625658739114,0.8660914137136673,1.2588775839207078,0.9438079808742147
optimizer_presolve_removed_rows,45098,7,0.1949409137303173,0.1949409137303173,1.0181156100575868,0.8693443208607335,1.3163456207999396,0.9521607893509048
general_constraints,415,28,0.19314097881850903,0.19314097881850903,0.943732001079371,0.8663770022379007,1.12157042797806,0.9022931515914252
matrix_coefficient_range,"[ 1.01469e-13, 35.346 ]",28,0.19314097881850903,0.19314097881850903,0.943732001079371,0.8663770022379007,1.12157042797806,0.9022931515914252
matrix_coefficient_range_presolved,"[ 2.0619e-08, 171.383 ]",28,0.19314097881850903,0.19314097881850903,0.943732001079371,0.8663770022379007,1.12157042797806,0.9022931515914252
rhs_coefficient_range,"[ 1.67848e-38, 23.028 ]",28,0.19314097881850903,0.19314097881850903,0.943732001079371,0.8663770022379007,1.12157042797806,0.9022931515914252
rhs_coefficient_range_presolved,"[ 9.68222e-08, 1087.35 ]",28,0.19314097881850903,0.19314097881850903,0.943732001079371,0.8663770022379007,1.12157042797806,0.9022931515914252
variable_bound_range,"[ 2.98161e-08, 35.346 ]",28,0.19314097881850903,0.19314097881850903,0.943732001079371,0.8663770022379007,1.12157042797806,0.9022931515914252
linear_constraint_matrix_constrs_presolved,31482,5,0.19209634550752588,0.19209634550752588,1.0181156100575868,0.8693443208607335,1.3767593388829442,0.9585234919252786
optimizer_presolved_rows,31482,5,0.19209634550752588,0.19209634550752588,1.0181156100575868,0.8693443208607335,1.3767593388829442,0.9585234919252786
cutting_planes_cover,60.0,1,0.18807919517234223,0.18807919517234223,1.8646936582223586,0.8699154979092004,1.8646936582223586,0.975213760495578
rhs_coefficient_range_presolved,"[ 4.89465e-08, 20.5211 ]",9,-0.18731122907758038,0.18731122907758038,0.6727288053224821,0.9502716176803672,0.7132808583756367,1.026751475048058
optimizer_presolve_removed_rows,45038,4,-0.18683172825218647,0.18683172825218647,0.5461698599495108,0.9419559292947085,0.5612167818508882,1.0126471106765418
linear_constraint_matrix_constrs,76580,6,0.18488205046534786,0.18488205046534786,1.0479951437645523,0.8660914137136673,1.3269452286477066,0.9567151406291234
optimizer_presolved_variable_types_binary,443,6,0.18488205046534786,0.18488205046534786,1.0479951437645523,0.8660914137136673,1.3269452286477066,0.9567151406291234
optimizer_presolved_variable_types_integer,443,6,0.18488205046534786,0.18488205046534786,1.0479951437645523,0.8660914137136673,1.3269452286477066,0.9567151406291234
variable_types_binary_presolved,443,6,0.18488205046534786,0.18488205046534786,1.0479951437645523,0.8660914137136673,1.3269452286477066,0.9567151406291234
variable_types_integer_presolved,443,6,0.18488205046534786,0.18488205046534786,1.0479951437645523,0.8660914137136673,1.3269452286477066,0.9567151406291234
cutting_planes_clique,<NA>,9,0.18455861259262418,0.18455861259262418,1.0894800138380174,0.8628385065666009,1.257823678999645,0.9489596435303425
cutting_planes_cover,<NA>,2,0.18361900848661938,0.18361900848661938,1.5888019050423734,0.9035539411937876,1.5888019050423734,0.970389526333195
optimizer_presolved_variable_types_continuous,1437,3,0.1834369298619535,0.1834369298619535,1.5227300298009452,0.8693443208607335,1.474470982512548,0.9663979377662426
variable_types_continuous_presolved,1437,3,0.1834369298619535,0.1834369298619535,1.5227300298009452,0.8693443208607335,1.474470982512548,0.9663979377662426
linear_constraint_matrix_constrs,128733,5,-0.1749278469546381,0.1749278469546381,0.6602242455480435,0.9445333120931896,0.6331597368441254,1.014015999540116
optimizer_presolved_variable_types_binary,591,5,-0.1749278469546381,0.1749278469546381,0.6602242455480435,0.9445333120931896,0.6331597368441254,1.014015999540116
