parameter,level,count,median,mean,min,max
extra_simplex_iterations_after_uncrush,32,1,0.4016398907108913,0.4016398907108913,0.4016398907108913,0.4016398907108913
extra_simplex_iterations_after_uncrush,69,1,0.45126214500731127,0.45126214500731127,0.45126214500731127,0.45126214500731127
rhs_coefficient_range_presolved,"[ 4.89465e-08, 22.277 ]",1,0.45126214500731127,0.45126214500731127,0.45126214500731127,0.45126214500731127
extra_simplex_iterations_after_uncrush,1816,1,0.4663401145723885,0.4663401145723885,0.4663401145723885,0.4663401145723885
extra_simplex_iterations_dual_to_original,50,1,0.4663401145723885,0.4663401145723885,0.4663401145723885,0.4663401145723885
cutting_planes_strongcg,2.0,2,0.4762120813548726,0.4762120813548726,0.4016398907108913,0.5507842719988539
cutting_planes_cover,32.0,1,0.47855247522674044,0.47855247522674044,0.47855247522674044,0.47855247522674044
extra_simplex_iterations_after_uncrush,37,1,0.47855247522674044,0.47855247522674044,0.47855247522674044,0.47855247522674044
extra_simplex_iterations_dual_to_original,31,1,0.47855247522674044,0.47855247522674044,0.47855247522674044,0.47855247522674044
linear_constraint_matrix_constrs_presolved,31522,2,0.4811258176346207,0.4811258176346207,0.4016398907108913,0.5606117445583502
linear_constraint_matrix_nzs,553225,2,0.4811258176346207,0.4811258176346207,0.4016398907108913,0.5606117445583502
optimizer_presolved_rows,31522,2,0.4811258176346207,0.4811258176346207,0.4016398907108913,0.5606117445583502
variable_types_continuous,8143,2,0.4811258176346207,0.4811258176346207,0.4016398907108913,0.5606117445583502
extra_simplex_iterations_after_uncrush,45,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
extra_simplex_iterations_dual_to_original,49,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
linear_constraint_matrix_constrs_presolved,54650,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
linear_constraint_matrix_nzs,724903,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
linear_constraint_matrix_vars,8774,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
linear_constraint_matrix_vars_presolved,1928,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
optimizer_presolve_removed_columns,6846,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
optimizer_presolve_removed_rows,74083,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
optimizer_presolved_columns,1928,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
optimizer_presolved_rows,54650,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
optimizer_presolved_variable_types_continuous,1337,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
variable_types_binary,635,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
variable_types_continuous_presolved,1337,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
variable_types_integer,635,1,0.4843668486537817,0.4843668486537817,0.4843668486537817,0.4843668486537817
extra_simplex_iterations_after_uncrush,55,1,0.4950158632328357,0.4950158632328357,0.4950158632328357,0.4950158632328357
optimizer_presolve_removed_rows,45068,4,0.5146683736127972,0.497897095623709,0.4016398907108913,0.5606117445583502
linear_constraint_matrix_constrs_presolved,31542,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
linear_constraint_matrix_nzs,553645,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
linear_constraint_matrix_vars,8718,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
linear_constraint_matrix_vars_presolved,1731,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
optimizer_presolved_columns,1731,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
optimizer_presolved_rows,31542,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
optimizer_presolved_variable_types_continuous,1258,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
variable_types_binary,495,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
variable_types_continuous,8223,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
variable_types_continuous_presolved,1258,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
variable_types_integer,495,2,0.5146683736127972,0.5146683736127972,0.47855247522674044,0.5507842719988539
rhs_coefficient_range_presolved,"[ 4.89465e-08, 22.2667 ]",4,0.5257625552187476,0.6726402251482496,0.4663401145723885,1.1726956755831148
linear_constraint_matrix_constrs,128713,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
linear_constraint_matrix_constrs_presolved,54609,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
linear_constraint_matrix_nzs,724767,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
linear_constraint_matrix_vars,8712,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
linear_constraint_matrix_vars_presolved,1888,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
optimizer_presolve_removed_columns,6824,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
optimizer_presolve_removed_rows,74104,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
optimizer_presolved_columns,1888,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
optimizer_presolved_rows,54609,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
optimizer_presolved_variable_types_binary,571,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
optimizer_presolved_variable_types_integer,571,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
variable_types_binary,600,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
variable_types_binary_presolved,571,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
variable_types_integer,600,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
variable_types_integer_presolved,571,2,0.5313988081258403,0.5313988081258403,0.45126214500731127,0.6115354712443694
