top_k,split_selection_mode,split_random_seed,count,median,mean,min,max
20,min,42,3,0.47855247522674044,0.6212819600016958,0.4016398907108913,0.9836535140674557
20,max,42,9,0.6714756551573599,0.7534273458518507,0.5507842719988539,1.1846030070070834
30,min,42,9,0.7459478122725794,0.9220291991443273,0.5430580878534023,1.5227300298009452
10,max,42,9,0.8093645297841411,0.9218614200129619,0.5842235614915912,1.8646936582223586
30,max,42,12,0.8387705029484939,0.855840314249754,0.5409050844325098,1.3582411138493415
20,random,42,9,0.8693443208607335,0.8746454032801855,0.4950158632328357,1.293952592301525
30,random,42,9,0.9445333120931896,0.9983530761589454,0.4663401145723885,1.5424418038873573
10,random,42,9,1.1671733686365586,1.1742991016632096,0.45126214500731127,2.5605216761286544
10,min,42,3,2.3429336250343424,2.723133695800976,1.7217771336257264,4.104690328742858
